A	a	…	…	…	…	…	…
B	b	but	…	…	…	…	…
C	c	can	…	…	cannot	…	…
D	d	do	day	…	…	-ound	…
E	e	every	ever	…	…	-ance	-ence
F	f	from	father	…	…	…	…
G	g	go	…	…	…	…	-ong
H	h	have	here	…	had	…	…
I	i	…	…	…	…	…	…
J	j	just	…	…	…	…	…
K	k	knowledge	know	…	…	…	…
L	l	like	lord	…	…	…	-ful
M	m	more	mother	…	many	…	…
N	n	not	name	…	…	-sion	-tion
O	o	…	one	…	…	…	…
P	p	people	part	…	…	…	…
Q	q	quite	question	…	…	…	…
R	r	rather	right	…	…	…	…
S	s	so	some	…	spirit	-less	-ness
T	t	that	time	…	…	-ount	-ment
U	u	us	under	upon	…	…	…
V	v	very	…	…	…	…	…
W	w	will	work	word	world	…	…
X	x	it	…	…	…	…	…
Y	y	you	young	…	…	…	-ity
Z	z	as	…	…	…	…	…
