about	ab
above	abv
according	ac
across	acr
after	af
afternoon	afn
afterward	afw
again	ag
against	ag(st)
almost	alm
already	alr
also	al
although	al(th)
altogether	alt
always	alw
because	(be)c
before	(be)f
behind	(be)h
below	(be)l
beneath	(be)n
beside	(be)s
between	(be)t
beyond	(be)y
blind	bl
braille	brl
children	(ch)n
conceive	(con)cv
conceiving	(con)cvg
could	cd
deceive	dcv
deceiving	dcvg
declare	dcl
declaring	dclg
either	ei
first	f(st)
friend	fr
good	gd
great	grt
herself	h(er)f
him	hm
himself	hmf
immediate	imm
its	xs
itself	xf
letter	lr
little	ll
much	m(ch)
must	m(st)
myself	myf
necessary	nec
neither	nei
o'clock	o'c
oneself	(one)f
ourselves	(ou)rvs
out	ou
paid	pd
perceive	p(er)cv
perceiving	p(er)cvg
perhaps	p(er)h
quick	qk
receive	rcv
receiving	rcvg
rejoice	rjc
rejoicing	rjcg
said	sd
should	(sh)d
such	s(ch)
themselves	(the)mvs
thyself	(th)yf
today	td
together	tgr
tomorrow	tm
tonight	tn
would	wd
your	yr
yourself	yrf
yourselves	yrvs
